comentario,sentimiento,confianza
"Me encanta la nueva app, es muy fácil de usar y rápida.",5 stars,0.865
"La atención al cliente fue pésima, no resolvieron mi problema.",1 star,0.641
"Funciona bien, pero podría ser más intuitiva en algunos aspectos.",3 stars,0.63
"No me gustó la última actualización, causó muchos errores.",1 star,0.623
"Excelente experiencia, todo fue justo como esperaba.",5 stars,0.815
El proceso de registro es muy confuso y lento.,2 stars,0.508
"Recomiendo esta app, ha mejorado mucho mi productividad.",5 stars,0.661
La aplicación se cierra inesperadamente y eso es frustrante.,1 star,0.599
"Buena funcionalidad, pero la interfaz no es atractiva.",3 stars,0.641
Estoy satisfecho con el soporte técnico recibido.,4 stars,0.581
