comentario,sentimiento,confianza
"pésima mantiene caida, no entra y si logra entrar a la app no realiza los envíos de dinero",1 star,0.949
malísima la mayoría del tiempo no deja enviar por llaves y las transferencias aparte te cobran 6mil y demoran casi 2 día en llegar,1 star,0.907
no me deja registrar el teléfono con error http 400 y no solucionan nada,1 star,0.823
"Está actualización tiene muchos errores, no permite realizar pagos pse, no genera la clave dinámica. 🥹",1 star,0.567
horrible experiencia en todos los sentidos.,1 star,0.918
llevo horas tratando de entrar y no lo permite. no accede con la huella y tampoco permite con usuario y clave. mientras no se mejoren sustancialmente los procesos digitales de las organizaciones del sector la gente seguirá prefiriendo la banca corporativa. han pasado casi 24 horas desde que escribí el mensaje y aún no puedo acceder a la app. ni con huella como siempre lo hacía ni con usuario y clave.,1 star,0.773
mucha novedad para poder transferir por llaves bre-b,4 stars,0.516
"que horror, apenas entre seguí todos los pasos y me bloqueó la cuenta sin siquiera explicarme la razón.",1 star,0.789
pésima llevo 2 meses intentando entrar por primera vez y no ha sido posible de todas las plataformas bancarias está es la peor,1 star,0.953
intento ingresar con mi usuario y le dice que en el momento no puede tramitar la solicitud y llevo todo el día así,1 star,0.393
Aplicación pésima no he podido ingresar se bloquea usuario y funcionalidades malas,1 star,0.938
"No está dejando crear nuevo usuario deben revisar ese problema, está nueva actualización tiene muchas fallas:(",1 star,0.543
"Esta nueva app no permite de ninguna forma que uno se pueda registrar, al parecer tiene muchas fallas que corregir en su funcionamiento, está lejos de ser una buena aplicación a menos que corrijan.",2 stars,0.471
"No es para nada funcional, el proceso de registro es tedioso y cuando se va a ingresar indica que el usuario está bloqueado. Se hace el proceso para desbloquear y lo saca de la aplicación pero no deja finalmente ingresar",1 star,0.801
difícil e ineficiente. Se ve que los que la crearon no las usan.,2 stars,0.507
Que mala aplicación 🧐🧐,1 star,0.674
"No me deja registrar, siempre que lo intento genera un error de verificación, llevo más de 2 semanas con ese problema y nada que solucionan La peor app",1 star,0.813
se instala y no permite pasar del primer pantallazo. Bloqueada completamente,1 star,0.829
muy mala la aplicación no deja crear la cuenta dice que error que intentar más tarde no sirve para nada,1 star,0.929
Deficiente,1 star,0.636
"malisima, comedal nos paso a esta aplicación hace 1 mes y no hemos siquiera podido registrarnos, no reconoce el documento,bloquea el usuario , es un desastre",1 star,0.977
"Que aplicación tan mala, llevo más de 5 días tratando en enviar dinero y nada...",1 star,0.929
"Es un cambio terrible de la app, no he podido registrarme en la nueva app, porque me despliega ventanas donde no puedo registrar ningún dato, además cuando he avanzado algo me dice que no está disponible el servicio, y la única vez que pude instalarla no me dejó entrar, me dice que mi usuario no es correcto, datos no válidos.",1 star,0.85
Múltiples fallos y no hay una sucursal virtual que se pueda ingresar por PC... No me permite ver los movimientos en orden ni completos...,1 star,0.574
"Llevo días intentando autenticar mi información con esta nueva app y siempre sale que no se puede procesar mi solicitud en este momento. Si se supone es la nueva App del banco ya debería quedar registrada la información, pero en las ""preguntas"" que para seguridad no deja continuar porque de una se cierra la app",1 star,0.395
"pésima, era mejor la anterior, cobran por cada transacción y el dinero tarda en llegar mucho tiempo. pésimo servicio!",1 star,0.939
"Muy mala, no me deja recuperar usuario y para todo da error",1 star,0.893
no esta funcionando la opción de Bre-b,1 star,0.696
"llevo casi 15 intentos de abrir la aplicación y en la validación de identidad, especialmente en la foto de la cédula no sirve, no deja captura y de ese punto no paso.",1 star,0.787
pésima,1 star,0.758
"Es el peor banco que haya usado, por todo se bloquea hasta para iniciar una simple sección",1 star,0.88
"pésima app, no carga, siempre está caída,era mejor la versión anterior, terrible.",1 star,0.944
"terrible aplicación. Quiero registrarme como usuario y la app arroja un error de ""error al validar la existencia del usuario"" pues es demasiado obvio que no puede validar la existencia si es un usuario nuevo, simplemente ridículo.",1 star,0.954
Nunca han funcionado las transferencias por Bre-B.,1 star,0.816
pésima la nueva versión,1 star,0.77
Siempre se desatualisa la aplicasion queda como nada y me pone a bregar cada rato grasias,1 star,0.615
"después de pasar todo lo de seguridad todo normal buen rendimiento, a veces los pagos no se pueden realizar por parte de PSE",4 stars,0.385
No sirve,1 star,0.76
"pésima aplicación, siempre dice que estos momentos no es posible tramitar su solicitud. Y no puedo dejar ingresar",1 star,0.928
"Complicada, no aurtentica la huella, vuelve al usuario, bloquea, dice que el usuario ya está desbloqueado y luego al ingresar vuelve y bloquea, no he podido hacer ninguna transacción. Complicada, difícil. Hay formas más fáciles de seguridad y con mejor servicio, en entidades bancarias como Lulo Bank, Nequi... Quiero registrar y usar las llaves y no me permite, estoy muy descontento con este servicio. Observo además en las opiniones que repiten los mismos problemas que a mi se me presentan.",1 star,0.737
"pésima aplicación lo deja iniciar sesión pero al autenticar la seguridad presenta fallas, ya fui incluso presencialmente al banco y no saben qué hacer. muy malito el proceso de seguridad de verificación el documento y la fotografía biométrica cabe anotar que es la segunda vez que instalo y desinstalo esta app es malisima",1 star,0.913
"Yo la tenía y funcionaba ahora con la actualización y ni deja a entrar a registrar nunca se puede ñ, y estoy sin poder la usar",1 star,0.614
me pide en codigo de verificacion y dura mucho tiempo en llega a mi correo electronico,1 star,0.366
muy bien,5 stars,0.607
"Pésima app, no da ingreso, no permite movimientos, la peor",1 star,0.929
"Llevo DIAS intentando hacer transferencias con llaves y siempre me dice que la llave no está registrada (intenté incluso transferir por ese medio a otra de mis cuentas que sé que tiene llave activa t lo mismo, dice que no está registrada.) tampoco me permite pagos por PSE... mejor dicho, si no son transacciones a la red coop central , ni para qué.... ya es hora de que se integren a la red financiera nacional y permitan transacciones a otras entidades bancarias por favor !!!",1 star,0.708
como todos los comentarios que he leído es verdad por todo bloquean tengo horario de oficina y no puedo estar yendo para que me desbloqueen muy mala app ppr mi le daría menos,1 star,0.585
"Pide actualización, se realiza transacción ""exitosa"" y no se refleja el movimiento al destinatario, pero si se descuenta el valor y no hay disponibilidad de ""agentes"" para dar soporte o solución telefónica",3 stars,0.435
excelente,5 stars,0.786
excelente,5 stars,0.786
"mala aplicación, ni siquiera deja registrar, y cuando pasa el proceso no permite tomar las fotos de autenticación",1 star,0.837
"esta aplicación no funciona adecuadamente, se realiza todo el proceso y después sale bloqueada, los de soporte técnico nunca dan solución al problema, cuando se generan estos cambios es para mejorar el huso de las personas, mas no para generar frustración en los usuarios.",1 star,0.697
"la verdad si está muy mala , por días funciona bien y otros no sirve , deberían mejorarla",2 stars,0.482
